Variation #,Input,Dim,Index
38,"Tensor<[1, 3, 480, 640]> input = ?",int dim = 0,int index = 0
39,"Tensor<[1, 3, 800, 1066]> input = ?",int dim = 0,int index = 0
40,"Tensor<[0, 4]> input = ?",int dim = 1,int index = 2
41,"Tensor<[0, 4]> input = ?",int dim = 1,int index = 0
42,"Tensor<[0, 4]> input = ?",int dim = 1,int index = 3
43,"Tensor<[0, 4]> input = ?",int dim = 1,int index = 1
44,"Tensor<[1, 1, 256]> input = ?",int dim = 0,int index = 0
45,"Tensor<[1, s0, 256]> input = ?",int dim = 0,int index = 0
46,"Tensor<[1, 3, 300, 300]> input = ?",int dim = 0,int index = 0
47,"Tensor<[8732, 4]> input = ?",int dim = 1,int index = 2
48,"Tensor<[8732, 4]> input = ?",int dim = 1,int index = 0
49,"Tensor<[8732, 4]> input = ?",int dim = 1,int index = 3
50,"Tensor<[8732, 4]> input = ?",int dim = 1,int index = 1
51,"Tensor<[3, 64, 4, 49, 32]> input = ?",int dim = 0,int index = 0
52,"Tensor<[3, 64, 4, 49, 32]> input = ?",int dim = 0,int index = 1
53,"Tensor<[3, 64, 4, 49, 32]> input = ?",int dim = 0,int index = 2
54,"Tensor<[3, 16, 8, 49, 32]> input = ?",int dim = 0,int index = 0
55,"Tensor<[3, 16, 8, 49, 32]> input = ?",int dim = 0,int index = 1
56,"Tensor<[3, 16, 8, 49, 32]> input = ?",int dim = 0,int index = 2
57,"Tensor<[3, 4, 16, 49, 32]> input = ?",int dim = 0,int index = 0
58,"Tensor<[3, 4, 16, 49, 32]> input = ?",int dim = 0,int index = 1
59,"Tensor<[3, 4, 16, 49, 32]> input = ?",int dim = 0,int index = 2
60,"Tensor<[3, 1, 32, 49, 32]> input = ?",int dim = 0,int index = 0
61,"Tensor<[3, 1, 32, 49, 32]> input = ?",int dim = 0,int index = 1
62,"Tensor<[3, 1, 32, 49, 32]> input = ?",int dim = 0,int index = 2
63,"Tensor<[3, 64, 3, 49, 32]> input = ?",int dim = 0,int index = 0
64,"Tensor<[3, 64, 3, 49, 32]> input = ?",int dim = 0,int index = 1
65,"Tensor<[3, 64, 3, 49, 32]> input = ?",int dim = 0,int index = 2
66,"Tensor<[3, 16, 6, 49, 32]> input = ?",int dim = 0,int index = 0
67,"Tensor<[3, 16, 6, 49, 32]> input = ?",int dim = 0,int index = 1
68,"Tensor<[3, 16, 6, 49, 32]> input = ?",int dim = 0,int index = 2
69,"Tensor<[3, 4, 12, 49, 32]> input = ?",int dim = 0,int index = 0
70,"Tensor<[3, 4, 12, 49, 32]> input = ?",int dim = 0,int index = 1
71,"Tensor<[3, 4, 12, 49, 32]> input = ?",int dim = 0,int index = 2
72,"Tensor<[3, 1, 24, 49, 32]> input = ?",int dim = 0,int index = 0
73,"Tensor<[3, 1, 24, 49, 32]> input = ?",int dim = 0,int index = 1
74,"Tensor<[3, 1, 24, 49, 32]> input = ?",int dim = 0,int index = 2
75,"Tensor<[3, 64, 4, 64, 32]> input = ?",int dim = 0,int index = 0
76,"Tensor<[3, 64, 4, 64, 32]> input = ?",int dim = 0,int index = 1
77,"Tensor<[3, 64, 4, 64, 32]> input = ?",int dim = 0,int index = 2
78,"Tensor<[3, 16, 8, 64, 32]> input = ?",int dim = 0,int index = 0
79,"Tensor<[3, 16, 8, 64, 32]> input = ?",int dim = 0,int index = 1
80,"Tensor<[3, 16, 8, 64, 32]> input = ?",int dim = 0,int index = 2
81,"Tensor<[3, 4, 16, 64, 32]> input = ?",int dim = 0,int index = 0
82,"Tensor<[3, 4, 16, 64, 32]> input = ?",int dim = 0,int index = 1
83,"Tensor<[3, 4, 16, 64, 32]> input = ?",int dim = 0,int index = 2
84,"Tensor<[3, 1, 32, 64, 32]> input = ?",int dim = 0,int index = 0
85,"Tensor<[3, 1, 32, 64, 32]> input = ?",int dim = 0,int index = 1
86,"Tensor<[3, 1, 32, 64, 32]> input = ?",int dim = 0,int index = 2
87,"Tensor<[3, 64, 3, 64, 32]> input = ?",int dim = 0,int index = 0
88,"Tensor<[3, 64, 3, 64, 32]> input = ?",int dim = 0,int index = 1
89,"Tensor<[3, 64, 3, 64, 32]> input = ?",int dim = 0,int index = 2
90,"Tensor<[3, 16, 6, 64, 32]> input = ?",int dim = 0,int index = 0
91,"Tensor<[3, 16, 6, 64, 32]> input = ?",int dim = 0,int index = 1
92,"Tensor<[3, 16, 6, 64, 32]> input = ?",int dim = 0,int index = 2
93,"Tensor<[3, 4, 12, 64, 32]> input = ?",int dim = 0,int index = 0
94,"Tensor<[3, 4, 12, 64, 32]> input = ?",int dim = 0,int index = 1
95,"Tensor<[3, 4, 12, 64, 32]> input = ?",int dim = 0,int index = 2
96,"Tensor<[3, 1, 24, 64, 32]> input = ?",int dim = 0,int index = 0
97,"Tensor<[3, 1, 24, 64, 32]> input = ?",int dim = 0,int index = 1
98,"Tensor<[3, 1, 24, 64, 32]> input = ?",int dim = 0,int index = 2
99,"Tensor<[1, 9, 768]> input = ?",int dim = 1,int index = 0
100,"Tensor<[3, 197, 1, 768]> input = ?",int dim = 0,int index = 0
101,"Tensor<[3, 197, 1, 768]> input = ?",int dim = 0,int index = 1
102,"Tensor<[3, 197, 1, 768]> input = ?",int dim = 0,int index = 2
103,"Tensor<[3, 50, 1, 768]> input = ?",int dim = 0,int index = 0
104,"Tensor<[3, 50, 1, 768]> input = ?",int dim = 0,int index = 1
105,"Tensor<[3, 50, 1, 768]> input = ?",int dim = 0,int index = 2
106,"Tensor<[3, 1370, 1, 1280]> input = ?",int dim = 0,int index = 0
107,"Tensor<[3, 1370, 1, 1280]> input = ?",int dim = 0,int index = 1
108,"Tensor<[3, 1370, 1, 1280]> input = ?",int dim = 0,int index = 2
109,"Tensor<[1, 1370, 1280]> input = ?",int dim = 1,int index = 0
110,"Tensor<[3, 197, 1, 1024]> input = ?",int dim = 0,int index = 0
111,"Tensor<[3, 197, 1, 1024]> input = ?",int dim = 0,int index = 1
112,"Tensor<[3, 197, 1, 1024]> input = ?",int dim = 0,int index = 2
113,"Tensor<[1, 197, 1024]> input = ?",int dim = 1,int index = 0
114,"Tensor<[3, 50, 1, 1024]> input = ?",int dim = 0,int index = 0
115,"Tensor<[3, 50, 1, 1024]> input = ?",int dim = 0,int index = 1
116,"Tensor<[3, 50, 1, 1024]> input = ?",int dim = 0,int index = 2
117,"Tensor<[1, 50, 1024]> input = ?",int dim = 1,int index = 0
