Variation #,Input,Dim,Half To Float
25,"Tensor<[16, 1, s10 + 1]> input = ?",int dim = -1,bool half_to_float = False
26,"Tensor<[1, 8, 256, 2048]> input = ?",int dim = -1,bool half_to_float = False
27,"Tensor<[1, 8, 256, 256]> input = ?",int dim = -1,bool half_to_float = False
28,"Tensor<[1, 8, 2048, 256]> input = ?",int dim = -1,bool half_to_float = False
29,"Tensor<[1, 12, 10, 10]> input = ?",int dim = -1,bool half_to_float = False
30,"Tensor<[1, 1, 16384, 256]> input = ?",int dim = -1,bool half_to_float = False
31,"Tensor<[1, 2, 4096, 256]> input = ?",int dim = -1,bool half_to_float = False
32,"Tensor<[1, 5, 1024, 256]> input = ?",int dim = -1,bool half_to_float = False
33,"Tensor<[1, 12, 201, 201]> input = ?",int dim = -1,bool half_to_float = False
34,"Tensor<[16, 19, 19]> input = ?",int dim = -1,bool half_to_float = False
35,"Tensor<[1, 3, 1445, 1445]> input = ?",int dim = -1,bool half_to_float = False
36,"Tensor<[1, 12, 12, 12]> input = ?",int dim = -1,bool half_to_float = False
37,"Tensor<[1, 16, 9, 9]> input = ?",int dim = -1,bool half_to_float = False
38,"Tensor<[1, 64, 9, 9]> input = ?",int dim = -1,bool half_to_float = False
39,"Tensor<[1, 16, 5, 5]> input = ?",int dim = -1,bool half_to_float = False
40,"Tensor<[1, 16, 1, 6]> input = ?",int dim = -1,bool half_to_float = False
41,"Tensor<[1, 16, 1, s10 + 1]> input = ?",int dim = -1,bool half_to_float = False
42,"Tensor<[1, 12, 16, 16]> input = ?",int dim = -1,bool half_to_float = False
43,"Tensor<[1, 12, 197, 197]> input = ?",int dim = -1,bool half_to_float = False
44,"Tensor<[1, 16, 197, 197]> input = ?",int dim = -1,bool half_to_float = False
45,"Tensor<[12, 24, 24]> input = ?",int dim = -1,bool half_to_float = False
46,"Tensor<[12, 1, 1]> input = ?",int dim = -1,bool half_to_float = False
47,"Tensor<[12, 1, 24]> input = ?",int dim = -1,bool half_to_float = False
48,"Tensor<[12, 1, 2]> input = ?",int dim = -1,bool half_to_float = False
49,"Tensor<[12, 1, s0 + 1]> input = ?",int dim = -1,bool half_to_float = False
50,"Tensor<[12, 1, s2 + 1]> input = ?",int dim = -1,bool half_to_float = False
51,"Tensor<[12, 1, s4 + 1]> input = ?",int dim = -1,bool half_to_float = False
52,"Tensor<[12, 1, s6 + 1]> input = ?",int dim = -1,bool half_to_float = False
53,"Tensor<[12, 1, s8 + 1]> input = ?",int dim = -1,bool half_to_float = False
54,"Tensor<[12, 1, s10 + 1]> input = ?",int dim = -1,bool half_to_float = False
55,"Tensor<[64, 4, 49, 49]> input = ?",int dim = -1,bool half_to_float = False
56,"Tensor<[16, 8, 49, 49]> input = ?",int dim = -1,bool half_to_float = False
57,"Tensor<[4, 16, 49, 49]> input = ?",int dim = -1,bool half_to_float = False
58,"Tensor<[1, 32, 49, 49]> input = ?",int dim = -1,bool half_to_float = False
59,"Tensor<[64, 3, 49, 49]> input = ?",int dim = -1,bool half_to_float = False
60,"Tensor<[16, 6, 49, 49]> input = ?",int dim = -1,bool half_to_float = False
61,"Tensor<[4, 12, 49, 49]> input = ?",int dim = -1,bool half_to_float = False
62,"Tensor<[1, 24, 49, 49]> input = ?",int dim = -1,bool half_to_float = False
63,"Tensor<[64, 4, 64, 64]> input = ?",int dim = -1,bool half_to_float = False
64,"Tensor<[16, 8, 64, 64]> input = ?",int dim = -1,bool half_to_float = False
65,"Tensor<[4, 16, 64, 64]> input = ?",int dim = -1,bool half_to_float = False
66,"Tensor<[1, 32, 64, 64]> input = ?",int dim = -1,bool half_to_float = False
67,"Tensor<[64, 3, 64, 64]> input = ?",int dim = -1,bool half_to_float = False
68,"Tensor<[16, 6, 64, 64]> input = ?",int dim = -1,bool half_to_float = False
69,"Tensor<[4, 12, 64, 64]> input = ?",int dim = -1,bool half_to_float = False
70,"Tensor<[1, 24, 64, 64]> input = ?",int dim = -1,bool half_to_float = False
71,"Tensor<[1, 12, 1, 1]> input = ?",int dim = -1,bool half_to_float = False
72,"Tensor<[1, 12, 1, 10]> input = ?",int dim = -1,bool half_to_float = False
73,"Tensor<[1, 12, 1, 2]> input = ?",int dim = -1,bool half_to_float = False
74,"Tensor<[1, 12, 1, s0 + 1]> input = ?",int dim = -1,bool half_to_float = False
75,"Tensor<[1, 16, 10, 10]> input = ?",int dim = -1,bool half_to_float = False
76,"Tensor<[1, 16, 1, 1]> input = ?",int dim = -1,bool half_to_float = False
77,"Tensor<[1, 16, 1, 10]> input = ?",int dim = -1,bool half_to_float = False
78,"Tensor<[1, 16, 1, 2]> input = ?",int dim = -1,bool half_to_float = False
79,"Tensor<[1, 16, 1, s0 + 1]> input = ?",int dim = -1,bool half_to_float = False
80,"Tensor<[1, 8, 10, 10]> input = ?",int dim = -1,bool half_to_float = False
81,"Tensor<[1, 8, 1, 1]> input = ?",int dim = -1,bool half_to_float = False
82,"Tensor<[1, 8, 1, 10]> input = ?",int dim = -1,bool half_to_float = False
83,"Tensor<[1, 8, 1, 2]> input = ?",int dim = -1,bool half_to_float = False
84,"Tensor<[1, 8, 1, s0 + 1]> input = ?",int dim = -1,bool half_to_float = False
85,"Tensor<[1, 12, 9, 9]> input = ?",int dim = -1,bool half_to_float = False
86,"Tensor<[1, 12, 14, 14]> input = ?",int dim = -1,bool half_to_float = False
